No ID;Brand;Adresse;Code Postal;Ville
1301469;AVIA;14 Av de Champagne;52190;Vaux sous Aubigny
1302584;INTERMARCHE;5 Rue Jacques Yves Cousteau;17640;Vaux Sur Mer
1303627;ESSO EXPRESS;183 Route de Paris, RN 2;02200;Vauxbuin / Soissons
1361159;AVIA;189 Rue de St. Céré;46110;Vayrac
1352127;TOTALENERGIES;N 102;43320;Vazeilles Limandre
1300805;CARREFOUR;12 Av Henri Planchet;42340;Veauche
1399508;AIRLIQUIDE;ZAC de l'orme les Sources;42340;Veauche
1303316;ESSO EXPRESS;RN 10 - Les Gués de Veigne;37250;Veigne
1361187;AVIA;Les Blossonniers Route Des Voirons;74140;Veigy
1360409;AVIA;85 Route de Ligny;55500;Velaines
1302943;INTERMARCHE;Rue des trois Ponts;21370;Velars sur Ouche
1302154;INTERMARCHE;Av Marcel Pagnol;13880;Velaux
1322089;TOTALENERGIES;Aire de Vélizy ouest A86;78140;Velizy Villacoublay
1352136;TOTALENERGIES;319 Route de Cavaillon;84740;Velleron
1304063;SHELL;A 20;36330;Velles Est
1305174;ESSO;A1;95470;Vemars
1304167;SHELL;A1;95470;Vemars
1361247;AVIA;Rue De Lusiaux;21150;Venarey
1360054;AVIA;130 Rue de la Calade;34740;Vendargues
1351063;TOTALENERGIES;7 Av. de Montpellier;34740;Vendargues
1303271;ESSO EXPRESS;RN 110 - Route d'Alès;34740;Vendargues
1361271;AVIA;7 Rue Des Anciennes Tanneries;10140;Vendeuvre
1397363;CARREFOUR;347 Rte De La Bassee;62880;Vendin Le Vieil
1301438;CARREFOUR;Rue du Renouveau;62232;Vendin Les Bethune
1301696;E.LECLERC;74 Bis,76 Rue De Courtiras;41100;Vendome
1302956;CARREFOUR;2 Chemin des Grussanottes;34350;Vendres
1398227;DIVERSE / OTHERS;RD 64, Z.A. via Europa;34350;Vendres
1398291;DIVERSE / OTHERS;Zac Europa Oost;34350;Vendres
1302354;INTERMARCHE;132 Allee du Verdon les Logissons;13770;Venelles
1302286;DIVERSE / OTHERS;2 av Maurice Plantier;13770;Venelles
1302378;DIVERSE / OTHERS;2 Av Maurice Plantier;13770;Venelles
1302365;INTERMARCHE;19 Route Departemental;31810;Venerque
1300414;CARREFOUR;6 Av. De L'Europe Zac De Venette;60280;Venette
1303675;ESSO EXPRESS;112 Boulevard Irène Joliot Curie;69200;Venissieux
1300465;CARREFOUR;136 Bld. Joliot Curie;69200;Venissieux
1303722;ESSO;61 Avenue de La République;69200;Venissieux
1311397;E.LECLERC;Drive De Venissieux;69200;Venissieux
1351237;TOTALENERGIES;A6;89290;Venoy
1305176;ESSO;Aire de Venoy Soleil Levant , A6;89290;Venoy
1301003;CARREFOUR;16 rue des Fourches;25530;Vercel Villedieu le Champs
1303265;ESSO EXPRESS;2 Av. Miribel;55100;Verdun
1352080;TOTALENERGIES;4 Avenue du Général de Gaulle;55100;Verdun
1397364;CARREFOUR;Av De Metz;55100;Verdun
1361216;AVIA;Av. Giscard D Estaing;71350;Verdun
1301513;E.LECLERC;La Galavaude (Place Maurice Genevoi;55100;Verdun
1302183;INTERMARCHE;62 Chemin de la Bussardière;37270;Veretz
1302390;INTERMARCHE;Rte de Puylaurens;31590;Verfeil
1302279;DYNEFF;Route de Brassac;43360;Vergongheon
1300945;INTERMARCHE;Rte de Bergerac;24380;Vergt
1311137;E.LECLERC;5 Place De La Republique;62980;Vermelles
1311034;E.LECLERC;3 Rue De L'Orson;35770;Vern Sur Seiche
1361040;AVIA;Route de Rennes;35770;Vern sur Seiche
1364098;AVIA;Za. Les Mottais;35770;Vern sur Seiche
1321213;TOTALENERGIES;ZI Croix Rouge;35770;Vern sur Seiche
1398294;INTERMARCHE;Route Nationale 12;27130;Verneuil Sur Avre
1302302;CARREFOUR;Rue Henri 1er Beauclerc;27130;Verneuil sur Avre
1301778;CARREFOUR;ZA du Pont Rouge rue Felix Brard;27130;Verneuil sur Avre
1302765;U;4 Rue de Tranchepie;87430;Verneuil-sur- Vienne
1364058;AVIA;Route d'Angoulème;87430;Verneuil-sur- Vienne
1364070;AVIA;73 Avenue de Paris;27200;Vernon
1300161;CARREFOUR;Boulevard Isambard;27200;Vernon
1311591;E.LECLERC;Zi Du Violet;27200;Vernon
1302892;U;54 Route Nationale;28500;Vernouillet
1302019;U;Route de Chartres;28500;Vernouillet
